Path,Name,Title,Color,#Files,Tag,Type,integrated_luminosity,trigger
,MET,Data,,,,Data,,
MET,MET_Run2016B_ver2_HIPM_UL,,,20,compstops_UL16APVv9_nano_v10,Data,,
MET,MET_Run2016C_HIPM_UL,,,19,compstops_UL16APVv9_nano_v10,Data,,
MET,MET_Run2016D_HIPM_UL,,,20,compstops_UL16APVv9_nano_v10,Data,,
MET,MET_Run2016E_HIPM_UL,,,20,compstops_UL16APVv9_nano_v10,Data,,
MET,MET_Run2016F_HIPM_UL,,,20,compstops_UL16APVv9_nano_v10,Data,,
,WJets,W + Jets,8,,,Background,,
#WJets,WJetsToLNu_HT70to100,,,10,compstops_UL16APVv9_nano_v10,Background,,
WJets,WJetsToLNu_HT100to200,,,10,compstops_UL16APVv9_nano_v10,Background,,
WJets,WJetsToLNu_HT200to400,,,10,compstops_UL16APVv9_nano_v10,Background,,
WJets,WJetsToLNu_HT400to600,,,20,compstops_UL16APVv9_nano_v10,Background,,
WJets,WJetsToLNu_HT600to800,,,20,compstops_UL16APVv9_nano_v10,Background,,
WJets,WJetsToLNu_HT800to1200,,,20,compstops_UL16APVv9_nano_v10,Background,,
WJets,WJetsToLNu_HT1200to2500,,,20,compstops_UL16APVv9_nano_v10,Background,,
WJets,WJetsToLNu_HT2500toInf,,,11,compstops_UL16APVv9_nano_v10,Background,,
,DYJets,Z/#gamma_{*} + Jets,kMagenta-6,,,Background,,
DYJets/DYJets_M50,DYJetsToLL_M50_HT70to100,,,20,compstops_UL16APVv9_nano_v10,Background,,
DYJets/DYJets_M50,DYJetsToLL_M50_HT100to200,,,20,compstops_UL16APVv9_nano_v10,Background,,
DYJets/DYJets_M50,DYJetsToLL_M50_HT200to400,,,20,compstops_UL16APVv9_nano_v10,Background,,
DYJets/DYJets_M50,DYJetsToLL_M50_HT400to600,,,20,compstops_UL16APVv9_nano_v10,Background,,
DYJets/DYJets_M50,DYJetsToLL_M50_HT600to800,,,17,compstops_UL16APVv9_nano_v10,Background,,
DYJets/DYJets_M50,DYJetsToLL_M50_HT800to1200,,,21,compstops_UL16APVv9_nano_v10,Background,,
DYJets/DYJets_M50,DYJetsToLL_M50_HT1200to2500,,,9,compstops_UL16APVv9_nano_v10,Background,,
DYJets/DYJets_M50,DYJetsToLL_M50_HT2500toInf,,,15,compstops_UL16APVv9_nano_v10,Background,,
DYJets/DYJets_M4to50,DYJetsToLL_M4to50_HT200to400,,,5,compstops_UL16APVv9_nano_v10,Background,,
DYJets/DYJets_M4to50,DYJetsToLL_M4to50_HT600toInf,,,6,compstops_UL16APVv9_nano_v10,Background,,
,DYINV,Z/#gamma_{*} #rightarrow #nu#bar{#nu} + Jets,kOrange-3,,,Background,,
DYINV,DYJetsToNuNu_HT100to200,,,20,compstops_UL16APVv9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT200to400,,,20,compstops_UL16APVv9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT400to600,,,20,compstops_UL16APVv9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT600to800,,,20,compstops_UL16APVv9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT800to1200,,,10,compstops_UL16APVv9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT1200to2500,,,9,compstops_UL16APVv9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT2500toInf,,,17,compstops_UL16APVv9_nano_v10,Background,,
,TT,t#bar{t},kAzure+1,,,Background,,
TT,TTLep_pow_CP5,,,30,compstops_UL16APVv9_nano_v10,Background,,
TT,TTSingleLep_pow_CP5,,,30,compstops_UL16APVv9_nano_v10,Background,,
,T,Single t,kAzure+1,,,Background,,
T,T_tch_pow,,,20,compstops_UL16APVv9_nano_v10,Background,,
T,TBar_tch_pow,,,20,compstops_UL16APVv9_nano_v10,Background,,
T,T_tWch_ext,,,20,compstops_UL16APVv9_nano_v10,Background,,
T,TBar_tWch_ext,,,20,compstops_UL16APVv9_nano_v10,Background,,
,TTX,t#bar{t} #rightarrow X,kAzure-7,,,Background,,
TTX,TTWToLNu_CP5,,,20,compstops_UL16APVv9_nano_v10,Background,,
TTX,TTWToQQ,,,3,compstops_UL16APVv9_nano_v10,Background,,
TTX,TTGJets,,,17,compstops_UL16APVv9_nano_v10,Background,,
TTX,TTW_LO,,,20,compstops_UL16APVv9_nano_v10,Background,,
TTX,TTZ_LO,,,20,compstops_UL16APVv9_nano_v10,Background,,
,VV,MultiBoson,,,,Background,,
VV/WW,WWTo2L2Nu,,,12,compstops_UL16APVv9_nano_v10,Background,,
VV/WW,WWTo1L1Nu2Q,,,7,compstops_UL16APVv9_nano_v10,Background,,
#VV/WW,WW,,,19,compstops_UL16APVv9_nano_v10,Background,,
VV/ZZ,ZZTo2L2Nu,,,20,compstops_UL16APVv9_nano_v10,Background,,
VV/ZZ,ZZTo2Q2L,,,22,compstops_UL16APVv9_nano_v10,Background,,
VV/ZZ,ZZTo2Nu2Q,,,6,compstops_UL16APVv9_nano_v10,Background,,
VV/ZZ,ZZTo4L,,,30,compstops_UL16APVv9_nano_v10,Background,,
VV/WZ,WZTo3LNu_amcatnlo,,,9,compstops_UL16APVv9_nano_v10,Background,,
VV/WZ,WZTo1L3Nu,,,2,compstops_UL16APVv9_nano_v10,Background,,
VV/WZ,WZTo1L1Nu2Q,,,10,compstops_UL16APVv9_nano_v10,Background,,
VV/WZ,WZTo2Q2L,,,9,compstops_UL16APVv9_nano_v10,Background,,
,QCD,QCD,kMagenta+3,,,Background,,
QCD/QCD_HT50to100,QCD_HT50to100,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT50to100,QCD_HT50to100_madgraph,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT100to200,QCD_HT100to200,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT100to200,QCD_HT100to200_madgraph,,,20,compstops_UL16APVv9_nano_v10,Background,,
#QCD/QCD_HT200to300,QCD_HT200to300,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT200to300,QCD_HT200to300_madgraph,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT300to500,QCD_HT300to500,,,50,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT300to500,QCD_HT300to500_madgraph,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT500to700,QCD_HT500to700,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT500to700,QCD_HT500to700_madgraph,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT700to1000,QCD_HT700to1000,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT700to1000,QCD_HT700to1000_madgraph,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT1000to1500,QCD_HT1000to1500,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT1000to1500,QCD_HT1000to1500_madgraph,,,19,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT1500to2000,QCD_HT1500to2000,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT1500to2000,QCD_HT1500to2000_madgraph,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT2000toInf,QCD_HT2000toInf,,,20,compstops_UL16APVv9_nano_v10,Background,,
QCD/QCD_HT2000toInf,QCD_HT2000toInf_madgraph,,,20,compstops_UL16APVv9_nano_v10,Background,,
,SMS_T2tt_mStop_500_mLSP_420,"m_{#tilde{t}}=500, m_{#tilde{#chi}} = 420",,5,compstops_UL16APVv9_nano_v10,Signal,,
,SMS_T2tt_mStop_500_mLSP_450,"m_{#tilde{t}}=500, m_{#tilde{#chi}} = 420",,5,compstops_UL16APVv9_nano_v10,Signal,,
,SMS_T2tt_mStop_500_mLSP_470,"m_{#tilde{t}}=500, m_{#tilde{#chi}} = 420",,5,compstops_UL16APVv9_nano_v10,Signal,,
