Path,Name,Title,Color,#Files,Tag,Type,integrated_luminosity,trigger
,MET,Data,,,,Data,,
MET,MET_Run2018A_UL,,,20,compstops_UL18v9_nano_v10,Data,,
MET,MET_Run2018B_UL,,,20,compstops_UL18v9_nano_v10,Data,,
MET,MET_Run2018C_UL,,,10,compstops_UL18v9_nano_v10,Data,,
MET,MET_Run2018D_UL,,,20,compstops_UL18v9_nano_v10,Data,,
,WJets,W + Jets,8,,,Background,,
WJets,WJetsToLNu_HT70to100,,,35,compstops_UL18v9_nano_v10,Background,,
WJets,WJetsToLNu_HT100to200,,,50,compstops_UL18v9_nano_v10,Background,,
WJets,WJetsToLNu_HT200to400,,,30,compstops_UL18v9_nano_v10,Background,,
WJets,WJetsToLNu_HT400to600,,,5,compstops_UL18v9_nano_v10,Background,,
WJets,WJetsToLNu_HT600to800,,,5,compstops_UL18v9_nano_v10,Background,,
WJets,WJetsToLNu_HT800to1200,,,3,compstops_UL18v9_nano_v10,Background,,
WJets,WJetsToLNu_HT1200to2500,,,7,compstops_UL18v9_nano_v10,Background,,
WJets,WJetsToLNu_HT2500toInf,,,7,compstops_UL18v9_nano_v10,Background,,
,DYJets,Z/#gamma_{*} + Jets,kMagenta-6,,,Background,,
DYJets,DYJetsToLL_M50_HT70to100,,,10,compstops_UL18v9_nano_v10,Background,,
DYJets,DYJetsToLL_M50_HT100to200,,,15,compstops_UL18v9_nano_v10,Background,,
DYJets,DYJetsToLL_M50_HT200to400,,,10,compstops_UL18v9_nano_v10,Background,,
DYJets,DYJetsToLL_M50_HT400to600,,,5,compstops_UL18v9_nano_v10,Background,,
DYJets,DYJetsToLL_M50_HT600to800,,,5,compstops_UL18v9_nano_v10,Background,,
DYJets,DYJetsToLL_M50_HT800to1200,,,5,compstops_UL18v9_nano_v10,Background,,
DYJets,DYJetsToLL_M50_HT1200to2500,,,5,compstops_UL18v9_nano_v10,Background,,
DYJets,DYJetsToLL_M50_HT2500toInf,,,2,compstops_UL18v9_nano_v10,Background,,
,DYINV,Z/#gamma_{*} #rightarrow #nu#bar{#nu} + Jets,kOrange-3,,,Background,,
DYINV,DYJetsToNuNu_HT100to200,,,15,compstops_UL18v9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT200to400,,,12,compstops_UL18v9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT400to600,,,10,compstops_UL18v9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT600to800,,,4,compstops_UL18v9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT800to1200,,,1,compstops_UL18v9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT1200to2500,,,1,compstops_UL18v9_nano_v10,Background,,
DYINV,DYJetsToNuNu_HT2500toInf,,,1,compstops_UL18v9_nano_v10,Background,,
,TT,t#bar{t},kAzure+1,,,Background,,
TT,TTLep_pow_CP5,,,40,compstops_UL18v9_nano_v10,Background,,
TT,TTSingleLep_pow_CP5,,,125,compstops_UL18v9_nano_v10,Background,,
,T,Single t,kAzure+1,,,Background,,
T,T_tch_pow,,,45,compstops_UL18v9_nano_v10,Background,,
T,TBar_tch_pow,,,45,compstops_UL18v9_nano_v10,Background,,
T,T_tWch_ext,,,3,compstops_UL18v9_nano_v10,Background,,
T,TBar_tWch_ext,,,3,compstops_UL18v9_nano_v10,Background,,
,TTX,t#bar{t} #rightarrow X,kAzure-7,,,Background,,
#TTX,TTWToLNu_CP5,,,3,compstops_UL18v9_nano_v10,Background,,
TTX,TTWToQQ,,,1,compstops_UL18v9_nano_v10,Background,,
TTX,TTW_LO,,,13,compstops_UL18v9_nano_v10,Background,,
TTX,TTZ_LO,,,15,compstops_UL18v9_nano_v10,Background,,
TTX,TTGJets,,,5,compstops_UL18v9_nano_v10,Background,,
,VV,MultiBoson,,,,Background,,
VV,WW,,,10,compstops_UL18v9_nano_v10,Background,,
#VV,WWTo2L2Nu,,,5,compstops_UL18v9_nano_v10,Background,,
VV,ZZTo2L2Nu,,,15,compstops_UL18v9_nano_v10,Background,,
VV,ZZTo2Nu2Q,,,15,compstops_UL18v9_nano_v10,Background,,
VV,ZZTo2Q2L,,,30,compstops_UL18v9_nano_v10,Background,,
VV,ZZTo4L,,,30,compstops_UL18v9_nano_v10,Background,,
VV,WZTo3LNu_amcatnlo,,,5,compstops_UL18v9_nano_v10,Background,,
VV,WZTo1L1Nu2Q,,,8,compstops_UL18v9_nano_v10,Background,,
,QCD,QCD,kMagenta+3,,,Background,,
QCD,QCD_HT50to100,,,11,compstops_UL18v9_nano_v10,Background,,
QCD,QCD_HT100to200,,,49,compstops_UL18v9_nano_v10,Background,,
QCD,QCD_HT200to300,,,27,compstops_UL18v9_nano_v10,Background,,
QCD,QCD_HT300to500,,,65,compstops_UL18v9_nano_v10,Background,,
QCD,QCD_HT500to700,,,25,compstops_UL18v9_nano_v10,Background,,
QCD,QCD_HT700to1000,,,25,compstops_UL18v9_nano_v10,Background,,
QCD,QCD_HT1000to1500,,,16,compstops_UL18v9_nano_v10,Background,,
QCD,QCD_HT1500to2000,,,12,compstops_UL18v9_nano_v10,Background,,
QCD,QCD_HT2000toInf,,,5,compstops_UL18v9_nano_v10,Background,,
,SMS_T2tt_mStop_500_mLSP_420,"m_{#tilde{t}}=500, m_{#tilde{#chi}}=420",,2,compstops_UL18v9_nano_v10,Signal,,
,SMS_T2tt_mStop_500_mLSP_450,"m_{#tilde{t}}=500, m_{#tilde{#chi}}=450",,2,compstops_UL18v9_nano_v10,Signal,,
,SMS_T2tt_mStop_500_mLSP_470,"m_{#tilde{t}}=500, m_{#tilde{#chi}}=470",,2,compstops_UL18v9_nano_v10,Signal,,
#,SMS_T2tt_LL_mStop_400_mLSP_380,"m_{#tilde{t}}=400, m_{#tilde{#chi}}=380",,2,compstops_UL18v9_nano_v10,Signal,,
#,SMS_T2tt_LL_mStop_350_mLSP_335,"m_{#tilde{t}}=350, m_{#tilde{#chi}}=335",,2,compstops_UL18v9_nano_v10,Signal,,
#,SMS_T2tt_LL_mStop_300_mLSP_290,"m_{#tilde{t}}=300, m_{#tilde{#chi}}=290",,2,compstops_UL18v9_nano_v10,Signal,,
